time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2600000000000007,-0.172472331371,-0.102650139984,11.878892839,6.22763988965,0.0601105565461,0.0,-0.437643222039,-0.324073450528,3.11393894772,-0.0456873498823,0.05519125853,0.0,431.49317631740973,431.95928321198636,430.80448746144936,430.38736719242587
1.3200000000000007,-0.199978975566,-0.123243218388,12.0685252105,6.22491435251,0.0631718008033,0.0,-0.479554657363,-0.362623404487,3.20683074275,-0.0449073894021,0.0410062927198,0.0,446.15408223889636,444.99602627262095,444.0524921393642,444.1152695194215
1.3800000000000008,-0.229950755819,-0.146103887173,12.2620056239,6.22221169075,0.0652730247579,0.0,-0.519715540593,-0.399642518153,3.24236996363,-0.0453196399409,0.0190253288275,0.0,428.61040259506564,426.73867613377683,426.49111398293167,426.45463644124584
1.4400000000000008,-0.262761252484,-0.1716043945,12.4636019471,6.2200804275,0.0663677237049,0.0,-0.574062068285,-0.450622008844,3.47677167854,-0.0208978567252,0.0166368493931,0.0,489.22433715556446,489.04636575594725,486.4538855277266,488.2786884425215
1.5000000000000009,-0.298335123976,-0.199712517383,12.6713997572,6.2183723615,0.0672373220008,0.0,-0.611821283106,-0.486439180521,3.44987424181,-0.0513125205152,0.00981904450353,0.0,408.73444173155127,408.12625627118695,409.0972504517671,406.3793669348063
1.560000000000001,-0.33664214082,-0.230443321996,12.8842842922,6.21561445146,0.0677150236819,0.0,-0.665104798262,-0.538219165497,3.64561728735,-0.0369843010683,0.003960904041,0.0,478.09982985210644,477.6531535915079,478.41695382528945,479.5055701427083
1.620000000000001,-0.378009248662,-0.264194687087,13.1067267819,6.21326116038,0.0683105163729,0.0,-0.713822582633,-0.587041362536,3.76868658069,-0.0441189264816,0.0197701855444,0.0,457.5996512367314,458.85636596167956,458.03134531011216,457.46282213672197
1.680000000000001,-0.422127845413,-0.300732810629,13.3338027726,6.21170282659,0.0691861062942,0.0,-0.756892644859,-0.631071479012,3.8003627632,-0.00345999272104,0.00143932984061,0.0,430.866333033129,429.31359473615385,428.3033218431102,431.7472467759954
1.740000000000001,-0.469072260633,-0.340170480356,13.5660508147,6.21134720291,0.0693017135562,0.0,-0.8079052914,-0.683517267425,3.94073113905,-0.0113847708608,0.00288437839221,0.0,464.56182120645246,464.67508084897287,464.6366526348736,464.0150091909833
1.8000000000000012,-0.519196877317,-0.382884485935,13.8083667692,6.21028164114,0.069672204372,0.0,-0.862906039516,-0.740332959889,4.13573477159,-0.035256011869,0.012055199671,0.0,481.689445862603,482.3824160358557,482.3127493496498,480.506409597287
1.8600000000000012,-0.57259805349,-0.429001480661,14.0618551937,6.20810479948,0.070849082644,0.0,-0.9172046135,-0.797097850914,4.31315686685,-0.0384126207342,0.031561760214,0.0,476.7700468390769,478.2581446977091,478.7258021368595,478.48504113003685
1.9200000000000013,-0.629052168533,-0.47832345757,14.3226458858,6.20618165835,0.0731443653072,0.0,-0.964792613188,-0.847154398062,4.37954262069,-0.0216699974952,0.0490803151216,0.0,444.9690692016724,446.4017215398178,445.16362520658004,446.53124422466715
1.9800000000000013,-0.688198619805,-0.530460555523,14.5845270028,6.20550996637,0.0766026975706,0.0,-1.00703844589,-0.890839126008,4.34988012692,0.0041844810344,0.0708137977829,0.0,414.12050901212973,416.0305146618416,413.96316871377246,416.23235557417104
2.0400000000000014,-0.750356572669,-0.585639886238,14.8499415487,6.20657447232,0.0807284012966,0.0,-1.06530996964,-0.948351188669,4.49662104339,0.0362742893386,0.0643070039134,0.0,470.7003837272485,470.1997953211113,470.32267553055175,472.80170373080176
2.1000000000000014,-0.816135859731,-0.644273163047,15.1245663492,6.20863930014,0.0842022531354,0.0,-1.12769779893,-1.00581409125,4.65682800465,0.0304067216163,0.0402703913904,0.0,477.7003556444992,475.8657146008713,476.0402185563128,475.59137924547326
2.1600000000000015,-0.885510322445,-0.706115797518,15.4061780637,6.21106598542,0.0872261270043,0.0,-1.18503841227,-1.05538115661,4.72987662244,0.0553372369565,0.0653892581427,0.0,450.6490816880672,452.676641477443,449.88531279673316,451.9004141770945
2.2200000000000015,-0.958584299747,-0.771036617993,15.6943409201,6.21515104236,0.0912298356544,0.0,-1.25114420627,-1.10820353257,4.8748799037,0.0858234329117,0.0692795116547,0.0,473.2433962486495,473.5457951586024,473.26732239876634,475.611221664665
